         25041500 function calls (25027833 primitive calls) in 20.434 seconds

   Ordered by: cumulative time
   List reduced from 2304 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18876    0.007    0.000    0.012    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/interpreters/mlir.py:454(_is_user_file)
    18075    0.018    0.000    0.111    0.000 {jaxlib.utils.safe_map}
16680/15778    0.009    0.000    0.026    0.000 {built-in method builtins.next}
    15712    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x55eccda2d020}
    11408    0.011    0.000    0.017    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/dtypes.py:411(issubdtype)
    11085    0.001    0.000    0.001    0.000 /projects/wavi0116/software/anaconda/envs/tanimoto-gp/lib/python3.12/site-packages/jax/_src/core.py:213(<lambda>)
    11000    2.415    0.000    2.415    0.000 /projects/wavi0116/code/BayesOpt/code/utils/misc.py:106(smiles_to_fp)
    10580    0.002    0.000    0.002    0.000 {built-in method builtins.id}


